"Date","runname","Dailypassage"
2005-07-28,"Winter.Chinook.Passage.Estimate",521
2005-07-29,"Winter.Chinook.Passage.Estimate",979
2005-07-30,"Winter.Chinook.Passage.Estimate",177
2005-07-31,"Winter.Chinook.Passage.Estimate",604
2005-08-01,"Winter.Chinook.Passage.Estimate",824
2005-08-02,"Winter.Chinook.Passage.Estimate",1190
2005-08-03,"Winter.Chinook.Passage.Estimate",926
2005-08-04,"Winter.Chinook.Passage.Estimate",1257
2005-08-05,"Winter.Chinook.Passage.Estimate",1071
2005-08-06,"Winter.Chinook.Passage.Estimate",1709
2005-08-07,"Winter.Chinook.Passage.Estimate",1166
2005-08-08,"Winter.Chinook.Passage.Estimate",704
2005-08-09,"Winter.Chinook.Passage.Estimate",1424
2005-08-10,"Winter.Chinook.Passage.Estimate",2586
2005-08-11,"Winter.Chinook.Passage.Estimate",1163
2005-08-12,"Winter.Chinook.Passage.Estimate",647
2005-08-13,"Winter.Chinook.Passage.Estimate",1652
2005-08-14,"Winter.Chinook.Passage.Estimate",1616
2005-08-15,"Winter.Chinook.Passage.Estimate",1633
2005-08-16,"Winter.Chinook.Passage.Estimate",1582
2005-08-17,"Winter.Chinook.Passage.Estimate",2157
2005-08-18,"Winter.Chinook.Passage.Estimate",1849
2005-08-19,"Winter.Chinook.Passage.Estimate",2815
2005-08-20,"Winter.Chinook.Passage.Estimate",2107
2005-08-21,"Winter.Chinook.Passage.Estimate",1921
2005-08-22,"Winter.Chinook.Passage.Estimate",3806
2005-08-23,"Winter.Chinook.Passage.Estimate",4570
2005-08-24,"Winter.Chinook.Passage.Estimate",7221
2005-08-25,"Winter.Chinook.Passage.Estimate",13205
2005-08-26,"Winter.Chinook.Passage.Estimate",12342
2005-08-27,"Winter.Chinook.Passage.Estimate",17116
2005-08-28,"Winter.Chinook.Passage.Estimate",22243
2005-08-29,"Winter.Chinook.Passage.Estimate",21442
2005-08-30,"Winter.Chinook.Passage.Estimate",33165
2005-08-31,"Winter.Chinook.Passage.Estimate",47094
2005-09-01,"Winter.Chinook.Passage.Estimate",43131
2005-09-02,"Winter.Chinook.Passage.Estimate",57964
2005-09-03,"Winter.Chinook.Passage.Estimate",55992
2005-09-04,"Winter.Chinook.Passage.Estimate",51912
2005-09-05,"Winter.Chinook.Passage.Estimate",62680
2005-09-06,"Winter.Chinook.Passage.Estimate",85906
2005-09-07,"Winter.Chinook.Passage.Estimate",94674
2005-09-08,"Winter.Chinook.Passage.Estimate",57950
2005-09-09,"Winter.Chinook.Passage.Estimate",67750
2005-09-10,"Winter.Chinook.Passage.Estimate",43576
2005-09-11,"Winter.Chinook.Passage.Estimate",88960
2005-09-12,"Winter.Chinook.Passage.Estimate",77927
2005-09-13,"Winter.Chinook.Passage.Estimate",107309
2005-09-14,"Winter.Chinook.Passage.Estimate",88842
2005-09-21,"Winter.Chinook.Passage.Estimate",133474
2005-09-22,"Winter.Chinook.Passage.Estimate",137038
2005-09-23,"Winter.Chinook.Passage.Estimate",176057
2005-09-24,"Winter.Chinook.Passage.Estimate",318251
2005-09-25,"Winter.Chinook.Passage.Estimate",402126
2005-09-26,"Winter.Chinook.Passage.Estimate",194214
2005-09-27,"Winter.Chinook.Passage.Estimate",292970
2005-09-28,"Winter.Chinook.Passage.Estimate",310544
2005-09-29,"Winter.Chinook.Passage.Estimate",299799
2005-09-30,"Winter.Chinook.Passage.Estimate",297114
2005-10-01,"Winter.Chinook.Passage.Estimate",234148
2005-10-02,"Winter.Chinook.Passage.Estimate",256507
2005-10-03,"Winter.Chinook.Passage.Estimate",216528
2005-10-04,"Winter.Chinook.Passage.Estimate",148007
2005-10-05,"Winter.Chinook.Passage.Estimate",255136
2005-10-06,"Winter.Chinook.Passage.Estimate",217748
2005-10-07,"Winter.Chinook.Passage.Estimate",182268
2005-10-08,"Winter.Chinook.Passage.Estimate",163957
2005-10-09,"Winter.Chinook.Passage.Estimate",126638
2005-10-10,"Winter.Chinook.Passage.Estimate",199327
2005-10-11,"Winter.Chinook.Passage.Estimate",222843
2005-10-12,"Winter.Chinook.Passage.Estimate",147937
2005-10-13,"Winter.Chinook.Passage.Estimate",170696
2005-10-14,"Winter.Chinook.Passage.Estimate",106815
2005-10-15,"Winter.Chinook.Passage.Estimate",50129
2005-10-16,"Winter.Chinook.Passage.Estimate",72049
2005-10-17,"Winter.Chinook.Passage.Estimate",52409
2005-10-18,"Winter.Chinook.Passage.Estimate",44262
2005-10-19,"Winter.Chinook.Passage.Estimate",31067
2005-10-20,"Winter.Chinook.Passage.Estimate",34215
2005-10-21,"Winter.Chinook.Passage.Estimate",49061
2005-10-22,"Winter.Chinook.Passage.Estimate",41175
2005-10-23,"Winter.Chinook.Passage.Estimate",28741
2005-10-24,"Winter.Chinook.Passage.Estimate",26142
2005-10-25,"Winter.Chinook.Passage.Estimate",22713
2005-10-26,"Winter.Chinook.Passage.Estimate",11608
2005-10-27,"Winter.Chinook.Passage.Estimate",13290
2005-10-28,"Winter.Chinook.Passage.Estimate",15151
2005-10-29,"Winter.Chinook.Passage.Estimate",13435
2005-10-30,"Winter.Chinook.Passage.Estimate",16782
2005-10-31,"Winter.Chinook.Passage.Estimate",13257
2005-11-01,"Winter.Chinook.Passage.Estimate",14641
2005-11-02,"Winter.Chinook.Passage.Estimate",10273
2005-11-03,"Winter.Chinook.Passage.Estimate",10602
2005-11-04,"Winter.Chinook.Passage.Estimate",15389
2005-11-05,"Winter.Chinook.Passage.Estimate",19749
2005-11-06,"Winter.Chinook.Passage.Estimate",11688
2005-11-07,"Winter.Chinook.Passage.Estimate",7097
2005-11-08,"Winter.Chinook.Passage.Estimate",182001
2005-11-10,"Winter.Chinook.Passage.Estimate",20450
2005-11-11,"Winter.Chinook.Passage.Estimate",6671
2005-11-12,"Winter.Chinook.Passage.Estimate",3991
2005-11-13,"Winter.Chinook.Passage.Estimate",3206
2005-11-14,"Winter.Chinook.Passage.Estimate",2745
2005-11-15,"Winter.Chinook.Passage.Estimate",4911
2005-11-16,"Winter.Chinook.Passage.Estimate",7357
2005-11-17,"Winter.Chinook.Passage.Estimate",7846
2005-11-18,"Winter.Chinook.Passage.Estimate",9234
2005-11-19,"Winter.Chinook.Passage.Estimate",8475
2005-11-20,"Winter.Chinook.Passage.Estimate",5450
2005-11-21,"Winter.Chinook.Passage.Estimate",5545
2005-11-22,"Winter.Chinook.Passage.Estimate",4123
2005-11-23,"Winter.Chinook.Passage.Estimate",3244
2005-11-24,"Winter.Chinook.Passage.Estimate",2258
2005-11-25,"Winter.Chinook.Passage.Estimate",606
2005-11-26,"Winter.Chinook.Passage.Estimate",1237
2005-11-27,"Winter.Chinook.Passage.Estimate",1126
2005-11-28,"Winter.Chinook.Passage.Estimate",501
2005-11-29,"Winter.Chinook.Passage.Estimate",982
2005-11-30,"Winter.Chinook.Passage.Estimate",10591
2005-12-01,"Winter.Chinook.Passage.Estimate",3093
2005-12-03,"Winter.Chinook.Passage.Estimate",56362
2005-12-04,"Winter.Chinook.Passage.Estimate",9202
2005-12-05,"Winter.Chinook.Passage.Estimate",1903
2005-12-06,"Winter.Chinook.Passage.Estimate",880
2005-12-07,"Winter.Chinook.Passage.Estimate",728
2005-12-08,"Winter.Chinook.Passage.Estimate",290
2005-12-09,"Winter.Chinook.Passage.Estimate",472
2005-12-10,"Winter.Chinook.Passage.Estimate",853
2005-12-11,"Winter.Chinook.Passage.Estimate",1356
2005-12-12,"Winter.Chinook.Passage.Estimate",785
2005-12-13,"Winter.Chinook.Passage.Estimate",951
